2026-09-24 10:38:42.457 | INFO     | app.agent.base:transition_to:178 - 📝 [dummy] state: IDLE -> RUNNING (reason: test start)
2026-09-24 10:38:42.459 | WARNING  | app.agent.base:transition_to:159 - ⛔ Rejected illegal state transition for 'dummy': IDLE -> FINISHED (reason: shortcut). Legal targets from IDLE: ['IDLE', 'RUNNING']
2026-09-24 10:38:42.461 | WARNING  | app.agent.base:transition_to:150 - ⛔ Rejected invalid state transition for 'dummy': 'RUNNING' is not an AgentState (reason: string not enum)
2026-09-24 10:38:42.523 | INFO     | app.agent.base:transition_to:178 - 📝 [dummy] state: IDLE -> RUNNING (reason: run() started)
2026-09-24 10:38:42.523 | INFO     | app.agent.base:run:306 - Executing step 1/3
2026-09-24 10:38:42.524 | INFO     | app.agent.base:transition_to:178 - 📝 [dummy] state: RUNNING -> FINISHED (reason: terminate called)
2026-09-24 10:38:42.524 | INFO     | app.agent.base:transition_to:178 - 📝 [dummy] state: FINISHED -> IDLE (reason: run() completed successfully)
2026-09-24 10:38:42.527 | INFO     | app.agent.base:transition_to:178 - 📝 [dummy] state: IDLE -> RUNNING (reason: run() started)
2026-09-24 10:38:42.527 | INFO     | app.agent.base:run:306 - Executing step 1/2
2026-09-24 10:38:42.527 | INFO     | app.agent.base:run:306 - Executing step 2/2
2026-09-24 10:38:42.527 | INFO     | app.agent.base:transition_to:178 - 📝 [dummy] state: RUNNING -> IDLE (reason: max steps (2) reached without a verified finish)
2026-09-24 10:38:42.530 | INFO     | app.agent.base:transition_to:178 - 📝 [dummy] state: IDLE -> RUNNING (reason: run() started)
2026-09-24 10:38:42.530 | INFO     | app.agent.base:run:306 - Executing step 1/2
2026-09-24 10:38:42.530 | INFO     | app.agent.base:run:306 - Executing step 2/2
2026-09-24 10:38:42.531 | INFO     | app.agent.base:transition_to:178 - 📝 [dummy] state: RUNNING -> IDLE (reason: max steps (2) reached without a verified finish)
2026-09-24 10:38:42.531 | INFO     | app.agent.base:transition_to:178 - 📝 [dummy] state: IDLE -> RUNNING (reason: run() started)
2026-09-24 10:38:42.531 | INFO     | app.agent.base:run:306 - Executing step 1/2
2026-09-24 10:38:42.531 | INFO     | app.agent.base:run:306 - Executing step 2/2
2026-09-24 10:38:42.531 | INFO     | app.agent.base:transition_to:178 - 📝 [dummy] state: RUNNING -> IDLE (reason: max steps (2) reached without a verified finish)
2026-09-24 10:38:42.535 | INFO     | app.agent.base:transition_to:178 - 📝 [dummy] state: IDLE -> RUNNING (reason: run() started)
2026-09-24 10:38:42.535 | INFO     | app.agent.base:run:306 - Executing step 1/3
2026-09-24 10:38:42.535 | INFO     | app.agent.base:transition_to:178 - 📝 [dummy] state: RUNNING -> ERROR (reason: unhandled exception during run (E-ValueError))
2026-09-24 10:38:42.536 | INFO     | app.agent.base:transition_to:178 - 📝 [dummy] state: ERROR -> IDLE (reason: recovery reset after ERROR)
2026-09-24 10:38:42.536 | ERROR    | app.agent.base:run:358 - 🚨 Agent 'dummy' run failed [E-ValueError]: boom
2026-09-24 10:38:42.536 | INFO     | app.agent.base:transition_to:178 - 📝 [dummy] state: IDLE -> RUNNING (reason: run() started)
2026-09-24 10:38:42.536 | INFO     | app.agent.base:run:306 - Executing step 1/3
2026-09-24 10:38:42.536 | INFO     | app.agent.base:run:306 - Executing step 2/3
2026-09-24 10:38:42.536 | INFO     | app.agent.base:run:306 - Executing step 3/3
2026-09-24 10:38:42.537 | INFO     | app.agent.base:transition_to:178 - 📝 [dummy] state: RUNNING -> IDLE (reason: max steps (3) reached without a verified finish)
2026-09-24 10:38:42.539 | INFO     | app.agent.base:transition_to:178 - 📝 [dummy] state: IDLE -> RUNNING (reason: run() started)
2026-09-24 10:38:42.540 | INFO     | app.agent.base:run:306 - Executing step 1/1
2026-09-24 10:38:42.540 | INFO     | app.agent.base:transition_to:178 - 📝 [dummy] state: RUNNING -> IDLE (reason: max steps (1) reached without a verified finish)
2026-09-24 10:38:42.542 | INFO     | app.agent.base:transition_to:178 - 📝 [dummy] state: IDLE -> RUNNING (reason: export test)
2026-09-24 10:38:42.543 | INFO     | app.agent.base:transition_to:178 - 📝 [dummy] state: IDLE -> RUNNING (reason: start)
2026-09-24 10:38:42.544 | INFO     | app.agent.base:transition_to:178 - 📝 [dummy] state: RUNNING -> FINISHED (reason: done)
2026-09-24 10:38:42.546 | INFO     | app.agent.base:transition_to:178 - 📝 [dummy] state: IDLE -> RUNNING (reason: start)
2026-09-24 10:38:42.546 | INFO     | app.agent.base:transition_to:178 - 📝 [dummy] state: RUNNING -> FINISHED (reason: done)
2026-09-24 10:38:42.548 | INFO     | app.agent.base:transition_to:178 - 📝 [dummy] state: IDLE -> RUNNING (reason: start)
2026-09-24 10:38:42.550 | INFO     | app.agent.base:transition_to:178 - 📝 [dummy] state: IDLE -> RUNNING (reason: run() started)
2026-09-24 10:38:42.551 | INFO     | app.agent.base:run:306 - Executing step 1/3
2026-09-24 10:38:42.551 | INFO     | app.agent.base:run:306 - Executing step 2/3
2026-09-24 10:38:42.551 | INFO     | app.agent.base:run:306 - Executing step 3/3
2026-09-24 10:38:42.551 | INFO     | app.agent.base:transition_to:178 - 📝 [dummy] state: RUNNING -> IDLE (reason: max steps (3) reached without a verified finish)
